Author;Title;Year;Journal;H_index;RefPerDoc
"Perrin, Theo; Faure, Charles; Nay, Kevin; Cattozzo, Giammaria; Sorel, Anthony; Kulpa, Richard; Kerherve, Hugo A.";Virtual Reality Gaming Elevates Heart Rate but Not Energy Expenditure Compared to Conventional Exercise in Adult Males;2019;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;138;54,19
"Piccione, Joseph; Collett, James; De Foe, Alexander";Virtual skills training: the role of presence and agency;2019;HELIYON;46;53,22
"Park, Jeong Hye; Jeon, Han Jae; Lim, Eun-Cheon; Koo, Ja-Won; Lee, Hyo-Jeong; Kim, Hyung-Jong; Lee, Jung Seop; Song, Chang-Geun; Hong, Sung Kwang";Feasibility of Eye Tracking Assisted Vestibular Rehabilitation Strategy Using Immersive Virtual Reality;2019;CLINICAL AND EXPERIMENTAL OTORHINOLARYNGOLOGY;31;30,15
"Lee, Donggeon; Hong, Soungkyun; Jung, Sunhye; Lee, Kyeongbong; Lee, Gyuchang";The Effects of Viewing Smart Devices on Static Balance, Oculomotor Function, and Dizziness in Healthy Adults;2019;MEDICAL SCIENCE MONITOR;91;35,10
"Maniam, Pavithran; Schnell, Philipp; Dan, Lilly; Portelli, Rony; Erolin, Caroline; Mountain, Rodney; Wilkinson, Tracey";Exploration of temporal bone anatomy using mixed reality (HoloLens): development of a mixed reality anatomy teaching resource prototype;2020;JOURNAL OF VISUAL COMMUNICATION IN MEDICINE;16;16,55
"Cikajlo, Imre; Potisk, Karmen Peterlin";Advantages of using 3D virtual reality based training in persons with Parkinson's disease: a parallel study;2019;JOURNAL OF NEUROENGINEERING AND REHABILITATION;102;57,54
"Lee, Jiwon; Kim, Mingyu; Kim, Jinmo";RoleVR: Multi-experience in immersive virtual reality between co-located HMD and non-HMD users;2020;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Rosen, Eric; Whitney, David; Phillips, Elizabeth; Chien, Gary; Tompkin, James; Konidaris, George; Tellex, Stefanie";Communicating and controlling robot arm motion intent through mixed-reality head-mounted displays;2019;INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;170;56,01
"Zhang, Yuxuan; Liu, Hexu; Zhao, Mingjun; Al-Hussein, Mohamed";User-centered interior finishing material selection: An immersive virtual reality-based interactive approach;2019;AUTOMATION IN CONSTRUCTION;138;63,82
"Jansen, Wouter; Laurijssen, Dennis; Daems, Walter; Steckel, Jan";Automatic Calibration of a Six-Degrees-of-Freedom Pose Estimation System;2019;IEEE SENSORS JOURNAL;132;37,11
"Starr, Christine R.; Anderson, Barrett R.; Green, Katherine A.";I'm a Computer Scientist!: Virtual Reality Experience Influences Stereotype Threat and STEM Motivation Among Undergraduate Women;2019;JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY;66;61,85
"Cha, Seung Hyun; Koo, Choongwan; Kim, Tae Wan; Hong, Taehoon";Spatial perception of ceiling height and type variation in immersive virtual environments;2019;BUILDING AND ENVIRONMENT;172;60,37
"Ijaz, Kiran; Ahmadpour, Naseem; Naismith, Sharon L.; Calvo, Rafael A.";An Immersive Virtual Reality Platform for Assessing Spatial Navigation Memory in Predementia Screening: Feasibility and Usability Study;2019;JMIR MENTAL HEALTH;38;55,44
"Beams, Ryan; Kim, Andrea S.; Badano, Aldo";Transverse chromatic aberration in virtual reality head-mounted displays;2019;OPTICS EXPRESS;281;37,16
"Naylor, Matthew; Morrison, Ben; Ridout, Brad; Campbell, Andrew";Augmented Experiences: Investigating the Feasibility of Virtual Reality as Part of a Workplace Wellbeing Intervention;2019;INTERACTING WITH COMPUTERS;86;61,30
"Yamaguchi, Masahiro; Matsumura, Masayo; Shimada, Hikari; Araki, Kenji";Emotional evaluation for pictures displayed with small FOV telescope environment in virtual reality headset;2019;ARTIFICIAL LIFE AND ROBOTICS;21;16,21
"Nai, Weizhi; Feng, Junyan; Shan, Ling; Jia, Feiyong; Sun, Minghui; Sun, Xiaoying";Estimating Forearm Axial Rotation Using Vive Trackers for Interaction With Serious Games;2019;IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING;148;43,77
"Shen, Chien-wen; Ho, Jung-tsung; Pham Thi Minh Ly; Kuo, Ting-chang";Behavioural intentions of using virtual reality in learning: perspectives of acceptance of information technology and learning style;2019;VIRTUAL REALITY;51;59,84
"Micaroni, Lorenzo; Carulli, Marina; Ferrise, Francesco; Gallace, Alberto; Bordegoni, Monica";An Olfactory Display to Study the Integration of Vision and Olfaction in a Virtual Reality Environment;2019;JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING;53;45,86
"Rizzuto, Michael A.; Sonne, Michael W. L.; Vignais, Nicolas; Keir, Peter J.";Evaluation of a virtual reality head mounted display as a tool for posture assessment in digital human modelling software;2019;APPLIED ERGONOMICS;107;49,78
"Loup, Guillaume; Loup-Escande, Emilie";Effects of Travel Modes on Performances and User Comfort: A Comparison between ArmSwinger and Teleporting;2019;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
"Sakhare, Ashwin R.; Yang, Vincent; Stradford, Joy; Tsang, Ivan; Ravichandran, Roshan; Pa, Judy";Cycling and Spatial Navigation in an Enriched, Immersive 3D Virtual Park Environment: A Feasibility Study in Younger and Older Adults;2019;FRONTIERS IN AGING NEUROSCIENCE;92;72,09
"Chung, Hyun Chae; Choi, Gyoojae; Azam, Muhammad";Effects of Initial Starting Distance and Gap Characteristics on Children's and Young Adults' Velocity Regulation When Intercepting Moving Gaps;2019;HUMAN FACTORS;124;53,08
"Kelly, Jonathan W.; Klesel, Brenna C.; Cherep, Lucia A.";Visual Stabilization of Balance in Virtual Reality Using the HTC Vive;2019;ACM TRANSACTIONS ON APPLIED PERCEPTION;53;53,19
"Yildirim, Cagdas; Bostan, Barbaros; Berkman, Mehmet Ilker";Impact of different immersive techniques on the perceived sense of presence measured via subjective scales;2019;ENTERTAINMENT COMPUTING;31;53,04
"Ghita, Alexandra; Hernandez-Serrano, Olga; Fernandez-Ruiz, Yolanda; Monras, Miquel; Ortega, Lluisa; Mondon, Silvia; Teixidor, Lidia; Gual, Antoni; Porras-Garcia, Bruno; Ferrer-Garcia, Marta; Gutierrez-Maldonado, Jose";Cue-Elicited Anxiety and Alcohol Craving as Indicators of the Validity of ALCO-VR Software: A Virtual Reality Study;2019;JOURNAL OF CLINICAL MEDICINE;75;52,08
"Jurda, Mikolas; Urbanova, Petra; Chmelik, Jiri";Digital restoration of fragmentary human skeletal remains: Testing the feasibility of virtual reality;2019;JOURNAL OF FORENSIC AND LEGAL MEDICINE;51;33,73
Huang, Wen;Examining the impact of head-mounted display virtual reality on the science self-efficacy of high schoolers;2019;INTERACTIVE LEARNING ENVIRONMENTS;49;52,20
"Srivastava, Priyanka; Rimzhim, Anurag; Vijay, Palash; Singh, Shruti; Chandra, Sushil";Desktop VR Is Better Than Non-ambulatory HMD VR for Spatial Learning;2019;FRONTIERS IN ROBOTICS AND AI;37;51,43
"Ali, Almaas A.; Dafoulas, Georgios A.; Augusto, Juan Carlos";Collaborative Educational Environments Incorporating Mixed Reality Technologies: A Systematic Mapping Study;2019;IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;51;60,89
"Alghamdi, Najood; Alhalabi, Wadee";Fixation Detection with Ray-casting in Immersive Virtual Reality;2019;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;23;32,96
"Lin, Chiuhsiang J.; Abreham, Betsha T.; Woldegiorgis, Bereket H.";Effects of displays on a direct reaching task: A comparative study of head mounted display and stereoscopic widescreen display;2019;INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS;84;48,51
"Wang, Qiyue; Jiao, Wenhua; Yu, Rui; Johnson, Michael T.; Zhang, YuMing";Modeling of Human Welders' Operations in Virtual Reality Human-Robot Interaction;2019;IEEE ROBOTICS AND AUTOMATION LETTERS;63;29,19
"Arcioni, Benjamin; Palmisano, Stephen; Apthorp, Deborah; Kim, Juno";Postural stability predicts the likelihood of cybersickness in active HMD-based virtual reality;2019;DISPLAYS;59;48,71
"Kuiper, Ouren X.; Bos, Jelte E.; Diels, Cyriel";Vection does not necessitate visually induced motion sickness;2019;DISPLAYS;59;48,71
"Zhu, Lifeng; Wang, Zian; Wang, Yunhai; Song, Aiguo";Follow the Smoke: Immersive Display of Motion Data With Synthesized Smoke;2019;IEEE COMPUTER GRAPHICS AND APPLICATIONS;95;12,48
"Groves, Leah A.; Carnahan, Patrick; Allen, Daniel R.; Adam, Rankin; Peters, Terry M.; Chen, Elvis C. S.";Accuracy assessment for the co-registration between optical and VIVE head-mounted display tracking;2019;INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY;53;26,08
"Laurell, Christofer; Sandstrom, Christian; Berthold, Adam; Larsson, Daniel";Exploring barriers to adoption of Virtual Reality through Social Media Analytics and Machine Learning - An assessment of technology, network, price and trialability;2019;JOURNAL OF BUSINESS RESEARCH;217;85,95
"Micarelli, Alessandro; Viziano, Andrea; Micarelli, Beatrice; Augimeri, Ivan; Alessandrini, Marco";Vestibular rehabilitation in older adults with and without mild cognitive impairment: Effects of virtual reality using a head-mounted display;2019;ARCHIVES OF GERONTOLOGY AND GERIATRICS;82;42,57
"Perez, Daniel; Hasan, Mahmud; Shen, Yuzhong; Yang, Hong";AR-PED: A framework of augmented reality enabled pedestrian-in-the-loop simulation;2019;SIMULATION MODELLING PRACTICE AND THEORY;73;44,05
"Howes, Sarah C.; Charles, Darryl; Pedlow, Katy; Wilson, Iseult; Holmes, Dominic; McDonough, Suzanne";User-centred design of an active computer gaming system for strength and balance exercises for older adults;2019;JOURNAL OF ENABLING TECHNOLOGIES;21;48,11
"Plechata, Adela; Sahula, Vaclav; Fayette, Dan; Fajnerova, Iveta";Age-Related Differences With Immersive and Non-immersive Virtual Reality in Memory Assessment;2019;FRONTIERS IN PSYCHOLOGY;133;64,70
"Hirota, Masakazu; Kanda, Hiroyuki; Endo, Takao; Miyoshi, Tomomitsu; Miyagawa, Suguru; Hirohara, Yoko; Yamaguchi, Tatsuo; Saika, Makoto; Morimoto, Takeshi; Fujikado, Takashi";Comparison of visual fatigue caused by head-mounted display for virtual reality and two-dimensional display using objective and subjective evaluation;2019;ERGONOMICS;117;52,48
"Baqai, Attiya; Memon, Khuhed; Memon, Azam Rafique; Shah, Syed Muhammad Zaigham Abbas";Interactive Physiotherapy: An Application Based on Virtual Reality and Bio-feedback;2019;WIRELESS PERSONAL COMMUNICATIONS;65;33,32
Worley, Julie;Virtual Reality for Individuals With Substance Use Disorders;2019;JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;37;23,42
"Vertemati, Maurizio; Cassin, Simone; Rizzetto, Francesco; Vanzulli, Angelo; Elli, Marco; Sampogna, Gianluca; Gallieni, Maurizio";A Virtual Reality Environment to Visualize Three-Dimensional Patient-Specific Models by a Mobile Head-Mounted Display;2019;SURGICAL INNOVATION;51;19,13
"Pai, Yun Suen; Dingler, Tilman; Kunze, Kai";Assessing hands-free interactions for VR using eye gaze and electromyography;2019;VIRTUAL REALITY;51;59,84
"Caserman, Polona; Garcia-Agundez, Augusto; Konrad, Robert; Goebel, Stefan; Steinmetz, Ralf";Real-time body tracking in virtual reality using a Vive tracker;2019;VIRTUAL REALITY;51;59,84
"Bing, Eric G.; Parham, Groesbeck P.; Cuevas, Anthony; Fisher, Boris; Skinner, Jonathan; Mwanahamuntu, Mulindi; Sullivan, Richard";Using Low-Cost Virtual Reality Simulation to Build Surgical Capacity for Cervical Cancer Treatment;2019;JOURNAL OF GLOBAL ONCOLOGY;25;33,94
"Zhu, Xiaoqiang; Song, Lei; Wang, Nan; Zhang, Ruiheng; Chen, Shenshuai; Wang, Xiangyang; Zhu, Mengyao; You, Lihua; Deng, Zhigang; Jin, Xiaogang";Screwing assembly oriented interactive model segmentation in HMD VR environment;2019;COMPUTER ANIMATION AND VIRTUAL WORLDS;50;31,56
"Kardong-Edgren, Suzan; Breitkreuz, Karen; Werb, Michael; Foreman, Stephen; Ellertson, Anthony";Evaluating the Usability of a Second-Generation Virtual Reality Game for Refreshing Sterile Urinary Catheterization Skills;2019;NURSE EDUCATOR;41;6,22
"Wang, Lili; Wu, Jian; Yang, Xuefeng; Popescu, Voicu";VR Exploration Assistance through Automatic Occlusion Removal;2019;IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;148;38,90
"Jeon, Jin Yong; Jo, Hyun In; Kim, Sung Min; Yang, Hong Seok";Subjective and objective evaluation of water-supply and drainage noises in apartment buildings by using a head-mounted display;2019;APPLIED ACOUSTICS;89;36,21
"Lombart, Cindy; Milian, Elena; Normand, Jean-Marie; Verhulst, Adrien; Labbe-Pinlon, Blandine; Moreau, Guillaume";Consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store;2019;JOURNAL OF RETAILING AND CONSUMER SERVICES;104;79,95
"Spitzley, Kate A.; Karduna, Andrew R.";Feasibility of using a fully immersive virtual reality system for kinematic data collection;2019;JOURNAL OF BIOMECHANICS;208;38,16
"Qidwai, Uvais; Ajimsha, M. S.; Shakir, Mohamed";The role of EEG and EMG combined virtual reality gaming system in facial palsy rehabilitation - A case report;2019;JOURNAL OF BODYWORK AND MOVEMENT THERAPIES;55;39,30
"Hoffman, David M.; McKenzie, Chris; Koprowski, Brion; Iqbal, Asif; Balram, Nikhil";Aligning content rendering resolution and feature size with display capability in near-eye display systems;2019;JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY;54;24,72
"Parkhomenko, Egor; O'Leary, Mitchell; Safiullah, Shoaib; Walia, Sartaaj; Owyong, Michael; Lin, Cyrus; James, Ryan; Okhunov, Zhamshid; Patel, Roshan M.; Kaler, Kamaljot S.; Landman, Jaime; Clayman, Ralph";Pilot Assessment of Immersive Virtual Reality Renal Models as an Educational and Preoperative Planning Tool for Percutaneous Nephrolithotomy;2019;JOURNAL OF ENDOUROLOGY;95;21,38
"Sun, Chengyu; Hu, Wei; Xu, Diqiong";Navigation modes, operation methods, observation scales and background options in UI design for high learning performance in VR-based architectural applications;2019;JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING;29;53,11
"Garcia-Hernandez, Ruben Jesus; Kranzlmueller, Dieter";NOMAD VR: Multiplatform virtual reality viewer for chemistry simulations;2019;COMPUTER PHYSICS COMMUNICATIONS;186;45,53
"Simon, Sofia C.; Greitemeyer, Tobias";The impact of immersion on the perception of pornography: A virtual reality study;2019;COMPUTERS IN HUMAN BEHAVIOR;203;76,61
"Barreiros, Jose; Claure, Houston; Peele, Bryan; Shapira, Omer; Spjut, Josef; Luebke, David; Jung, Malte; Shepherd, Robert";Fluidic Elastomer Actuators for Haptic Interactions in Virtual Reality;2019;IEEE ROBOTICS AND AUTOMATION LETTERS;63;29,19
"Ahrens, Axel; Lund, Kasper Duemose; Marschall, Marton; Dau, Torsten";Sound source localization with varying amount of visual information in virtual reality;2019;PLOS ONE;367;48,10
"Lubetzky, Anat V.; Wang, Zhu; Krasovsky, Ta";Head mounted displays for capturing head kinematics in postural tasks;2019;JOURNAL OF BIOMECHANICS;208;38,16
"Parham, Groesbeck; Bing, Eric G.; Cuevas, Anthony; Fisher, Boris; Skinner, Jonathan; Mwanahamuntu, Mulindi; Sullivan, Richard";Creating a low-cost virtual reality surgical simulation to increase surgical oncology capacity and capability;2019;ECANCERMEDICALSCIENCE;37;34,59
"Ho, Li-Hsing; Sun, Hung; Tsai, Tsun-Hung";Research on 3D Painting in Virtual Reality to Improve Students' Motivation of 3D Animation Learning;2019;SUSTAINABILITY;109;64,87
"Park, San; Cho, Seoungjae; Park, Jisun; Huang, Kaisi; Sung, Yunsick; Cho, Kyungeun";Infrared bundle adjusting and clustering method for head-mounted display and Leap Motion calibration;2019;HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES;40;37,91
"Park, Kyeong-Beom; Lee, Jae Yeol";New design and comparative analysis of smartwatch metaphor-based hand gestures for 3D navigation in mobile virtual reality;2019;MULTIMEDIA TOOLS AND APPLICATIONS;80;45,20
"Alsaeedi, Nassr; Wloka, Dieter";Real-Time Eyeblink Detector and Eye State Classifier for Virtual Reality (VR) Headsets (Head-Mounted Displays, HMDs);2019;SENSORS;196;48,16
"Narciso, David; Bessa, Maximino; Melo, Miguel; Coelho, Antonio; Vasconcelos-Raposo, Jose";Immersive 360 degrees video user experience: impact of different variables in the sense of presence and cybersickness;2019;UNIVERSAL ACCESS IN THE INFORMATION SOCIETY;46;56,25
"Krokos, Eric; Plaisant, Catherine; Varshney, Amitabh";Virtual memory palaces: immersion aids recall;2019;VIRTUAL REALITY;51;59,84
Kwon, Chongsan;Verification of the possibility and effectiveness of experiential learning using HMD-based immersive VR technologies;2019;VIRTUAL REALITY;51;59,84
"Gibby, Jacob T.; Swenson, Samuel A.; Cvetko, Steve; Rao, Raj; Javan, Ramin";Head-mounted display augmented reality to guide pedicle screw placement utilizing computed tomography;2019;INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY;53;26,08
"Foerster, Rebecca M.; Poth, Christian H.; Behler, Christian; Botsch, Mario; Schneider, Werner X.";Neuropsychological Assessment of Visual Selective Attention and Processing Capacity With Head-Mounted Displays;2019;NEUROPSYCHOLOGY;135;62,05
"Jo, Hyun In; Jeon, Jin Yong";Downstairs resident classification characteristics for upstairs walking vibration noise in an apartment building under virtual reality environment;2019;BUILDING AND ENVIRONMENT;172;60,37
"Zhang, Jimmy F.; Paciorkowski, Alex R.; Craig, Paul A.; Cui, Feng";BioVR: a platform for virtual reality assisted biological data integration and visualization;2019;BMC BIOINFORMATICS;218;41,12
"Zhang, Zhenliang; Li, Yue; Guo, Jie; Weng, Dongdong; Liu, Yue; Wang, Yongtian";Vision-tangible interactive display method for mixed and virtual reality: Toward the human-centered editable reality;2019;JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY;54;24,72
"Guo, Jie; Weng, Dongdong; Zhang, Zhenliang; Liu, Yue; Duh, Henry B. -L.; Wang, Yongtian";Subjective and objective evaluation of visual fatigue caused by continuous and discontinuous use of HMDs;2019;JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY;54;24,72
"Katsigiannis, Stamos; Willis, Rhys; Ramzan, Naeem";A QoE and Simulator Sickness Evaluation of a Smart-Exercise-Bike Virtual Reality System via User Feedback and Physiological Signals;2019;IEEE TRANSACTIONS ON CONSUMER ELECTRONICS;105;31,23
"Franklin, J.; Ryder, Andrew";Electromagnetic field visualization in virtual reality;2019;AMERICAN JOURNAL OF PHYSICS;99;26,29
"Chu, Veronica C.; D'Zmura, Michael";Tracking feature-based attention;2019;JOURNAL OF NEURAL ENGINEERING;120;63,94
"Chou, Ping-Yen; Wu, Dui-Yi; Huang, Shang-Hao; Wang, Chun-Ping; Qin, Zong; Huang, Cheng-Ting; Hsieh, Po-Yuan; Lee, Hsin-Hseuh; Lin, Ting-Hsuan; Huang, Yi-Pai";Hybrid light field head-mounted display using time-multiplexed liquid crystal lens array for resolution enhancement;2019;OPTICS EXPRESS;281;37,16
"Jeon, Jin Yong; Jo, Hyun In";Three-dimensional virtual reality-based subjective evaluation of road traffic noise heard in urban high-rise residential buildings;2019;BUILDING AND ENVIRONMENT;172;60,37
"Chessa, Manuela; Maiello, Guido; Borsari, Alessia; Bex, Peter J.";The Perceptual Quality of the Oculus Rift for Immersive Virtual Reality;2019;HUMAN-COMPUTER INTERACTION;73;75,24
"Erra, Ugo; Malandrino, Delfina; Pepe, Luca";Virtual Reality Interfaces for Interacting with Three-Dimensional Graphs;2019;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;76;70,94
Del Verme, Laura;"AN ""AD PATRES"" ITINERARY. THE FONTANELLE CEMETERY IN NAPLES BETWEEN TECHNOLOGY AND CREATIVITY";2019;ARCHEOLOGIA E CALCOLATORI;5;31,44
"Hensen, Benedikt; Koren, Istvan; Klamma, Ralf";Gamification Support for Learning in Spatial Computing Environments;2019;JOURNAL OF UNIVERSAL COMPUTER SCIENCE;54;37,95
